Mã hàng;Mã vạch;Tên hàng;Thương hiệu;Giá bán;Giá vốn;Tồn kho;KH đặt;Dự kiến hết hàng;Tồn nhỏ nhất;Tồn lớn nhất;ĐVT;Mã ĐVT Cơ bản;Quy đổi;Thuộc tính;Mã HH Liên quan;Trọng lượng;Đang kinh doanh;Được bán trực tiếp;Giá sỉ
PVN661;8934637514307;Nước tương đậu nành Hương Việt chai 500g;Cholimex;7.000,0;5.873,00;23,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
PVN661-1;PVN1909;Nước tương đậu nành Hương Việt chai 500g;Cholimex;39.000,0;35.238,00;3,833;;;0,0;0,0;lóc;PVN661;6,0;;PVN661;0,0;1;1;0,0
PVN661-2;PVN5459;Nước tương đậu nành Hương Việt chai 500g;Cholimex;149.000,0;140.952,00;0,958;;;0,0;0,0;thùng;PVN661;24,0;;PVN661;0,0;1;1;0,0
PVN1876;8934637514437;Nước tương đậu nành Hương Việt hảo vị chai 500ml;Cholimex;20.000,0;17.000,00;12,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
PVN1876-1;PVN5460;Nước tương đậu nành Hương Việt hảo vị chai 500ml;Cholimex;428.000,0;408.000,00;0,50;;;0,0;0,0;thùng;PVN1876;24,0;;PVN1876;0,0;1;1;0,0
KD18;;Sữa Kun vị dâu hộp 180ml;Kun;8.000,0;5.818,00;135,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
KD18-1;8936025771279;Sữa Kun vị dâu hộp 180ml;Kun;27.000,0;23.272,00;33,750;;;0,0;0,0;lóc;KD18;4,0;;KD18;0,0;1;1;0,0
KD18-2;PVN914;Sữa Kun vị dâu hộp 180ml;Kun;308.000,0;279.264,00;2,813;;;0,0;0,0;thùng;KD18;48,0;;KD18;0,0;1;1;0,0
KS18;;Sữa Kun vị Socola hộp 180ml;Kun;8.000,0;6.459,00;156,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
KS18-1;8936025771200;Sữa Kun vị Socola hộp 180ml;Kun;28.000,0;25.836,00;39,0;;;0,0;0,0;lóc;KS18;4,0;;KS18;0,0;1;1;0,0
KS18-2;KS18T;Sữa Kun vị Socola hộp 180ml;Kun;312.000,0;310.032,00;3,250;;;0,0;0,0;thùng;KS18;48,0;;KS18;0,0;1;1;0,0
KN18;;Sữa Kun vị nho hộp 180ml;Kun;8.000,0;5.768,00;73,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
