ma_hang;ma_vach;ten_hang;thuong_hieu;gia_ban;gia_von;ton_kho;ton_nho_nhat;ton_lon_nhat;dvt;ma_dvt_co_ban;quy_doi;ma_hh_lien_quan;trong_luong;gia_si
SP000625;8936079121761;Bánh khoai tây Lays đỏ vị Thăn bò nướng Texas 52g;Lays;10000;8200;0;;;bịch;;1;;;0
SP000626;8936079121792;Bánh khoai tây Lays hồng vị Kim chi Seoul 52g;Lays;10000;7455;0;;;bịch;;1;;;0
SP000627;8936079121655;Bánh khoai tây Lay's vị Kem chua 30g;Lays;20000;15620;0;;;bịch;;1;;;0
SP000628;8936079120139;Bánh khoai tây Lay's vị tự nhiên 95g;Lays;20000;16400;0;;;bịch;;1;;;0
SP000629;8936079121020;Bánh Lay's xanh lá vị Tảo biển Nori 95g;Lays;20000;15620;0;;;bịch;;1;;;0
SP000630;9556174816462;Lay's vị tự nhiên hũ 160g;Lays;42000;37500;0;;;ống;;1;;;0
SP000631;9556174816479;Lay's stax vị kem chua hành hũ 160g;Lays;42000;37500;0;;;ống;;1;;;0
SP000632;8936079122218;Lay's wavy vị cua sốt XO 35g;Lays;6000;5200;0;;;bịch;;1;;;0
SP000633;8936079123864;Bánh lays vị kem chua hành 42g;Lays;10000;7455;0;;;bịch;;1;;;0
SP000634;8936079122225;Bánh lay's vị cua xốt XO 63g;Lays;10000;8200;0;;;bịch;;1;;;0
SP000635;8936079121167;Bánh Lays phô mai 95g;Lays;20000;16400;0;;;bịchk;;1;;;0
SP000636;8936079121686;Lays mực tẩm cay thái 63g;Lays;10000;8200;0;;;bịch;;1;;;0
SP000637;8936079122270;Lay's gà cay phô mai hàn quốc 32g;Lays;6000;5200;0;;;gói;;1;;;0
SP000638;8936079122287;Lay's Vị gà cay phô mai hàn quốc 63g;Lays;10000;8200;0;;;bịch;;1;;;0
SP000639;9556174816547;Lay's Vị sườn nướng BBQ hũ 160G;Lays;40000;37500;0;;;lon;;1;;;0
SP000640;PVN2754;Lay's vị kem chua hành 160g;Lays;40000;37500;0;;;lon;;1;;;0
SP000641;9556174816653;Lay's stax vị tôm hùm nướng ngũ vị hũ 160g;Lays;42000;37500;0;;;hũ;;1;;;0
SP000642;8936079121693;Lay's nâu vị Mực tẩm cay thái 95g;Lays;20000;16400;0;;;bịch;;1;;;0
SP000643;8936079121013;Lay's cam vị Sườn nướng BBQ Brazil 95g;Lays;20000;16400;0;;;bịch;;1;;;0
SP000644;8936079122423;Lay's hồng vị Tôm hùm xốt trứng muối 56g;Lays;10000;8900;0;;;gói;;1;;;0
SP000645;8936079122416;Lay's hồng vị tôm hùm xốt trứng muối hoàng kim 32g;Lays;6000;5200;0;;;gói;;1;;;0
SP000646;8936079122973;Lay's vị muối nguyên bản 56g;Lays;10000;8900;0;;;gói;;1;;;0
SP000647;8936079123260;Lay's vị nấm Truffe 45g;Lays;10000;8900;0;;;gói;;1;;;0
SP000648;8936079122966;Lay's vị muối nguyên bản 32g;Lays;6000;5200;0;;;gói;;1;;;0
SP000649;8936079123246;Lay's vị bò Wagyu 45g;Lays;10000;8900;0;;;bịch;;1;;;0
SP000650;8936079123338;Lay's vị sườn nướng BBQ Brazil bịch 82g;Lays;20000;18200;0;;;bịch;;1;;;0
SP000651;8936079123789;Bánh Lay's My Chiu vị tự nhiên bịch 34g;Lays;6000;5200;0;;;bịch;;1;;;0
SP000652;PVN6174;Kẹo Playmore vị bạc hà chai 22g - hộp;Playmore;157000;147934;0;;;hộp;;1;;;0
SP000653;8859578600882;Kẹo Playmore vị bạc hà chai 22g;Playmore;28000;24000;0;;;chai;;1;;;0
SP000654;PVN6176;Kẹo Playmore vị dâu chai 22g - hộp;Playmore;157000;147936;0;;;hộp;;1;;;0
SP000655;8859578602541;Kẹo Playmore vị dâu chai 22g;Playmore;28000;25000;0;;;chai;;1;;;0
SP000656;8859578601438;Kẹo Playmore vị anh đào chai 22g - hộp;Playmore;157000;147936;0;;;hộp;;1;;;0
SP000657;8859578601421;Kẹo Playmore vị anh đào chai 22g;Playmore;28000;25000;0;;;chai;;1;;;0
SP000658;8859578600318;Kẹo Playmore vị táo xanh chai 22g;Playmore;28000;24000;0;;;chai;;1;;;0
SP000659;8859578600370;Kẹo Playmore vị chanh muối chai 22g;Playmore;28000;24000;0;;;chai;;1;;;0
SP000660;8859578600820;Kẹo Playmore vị nho chai 22g;Playmore;28000;25000;0;;;chai;;1;;;0
SP000661;8859578600288;Kẹo Playmore vị xí muội chai 22g;Playmore;28000;24000;0;;;chai;;1;;;0
SP000662;8859578600257;Kẹo Playmore vị dưa hấu chai 22g;Playmore;28000;25000;0;;;chai;;1;;;0
SP000663;8859578605108;Kẹo Playmore vị berry chai 22g;Playmore;28000;24000;0;;;chai;;1;;;0
SP000664;8936079123765;Lay's My Chiu vị sườn nướng BBQ bịch 30g;Lays;6000;5200;0;;;bịch;;1;;;0
SP000665;8850718819119;Lays stax hot & Spicy Flavor 100g;Lays;30000;27000;0;;;hộp;;1;;;0
SP000666;8850718819102;Lays Stax vị thịt nướng BBQ 100G;Lays;30000;27000;0;;;lon;;1;;;0
SP000667;8936079123826;Lay's max vị bò Wagyu bịch 42g;Lays;10000;8000;0;;;bịch;;1;;;0
SP000668;8936079123666;Lay's wavy 2in1 vị bò nướng & kim chi bịch 45g;Lays;10000;8500;0;;;bịch;;1;;;0
SP000669;8936079123840;Lay's vị bấm truffle bịch 42g;Lays;10000;8500;0;;;bịch;;1;;;0
SP000670;8936079124229;Lay's vị tôm càng đút lò phô mai tan chảy bịch 54g;Lays;10000;8900;0;;;bịch;;1;;;0
SP000671;8859578600646;Kẹo dẻo cuộn Playmore vị dâu gói 21g;Playmore;12000;10000;0;;;gói;;1;;;0
SP000672;8859578600585;Kẹo dẻo cuộn Playmore vị dưa hấu gói 21g;Playmore;12000;10000;0;;;gói;;1;;;0
SP000673;8859578600615;Kẹo dẻo cuộn Playmore vị nho gói 21g;Playmore;12000;10000;0;;;gói;;1;;;0
SP000674;8936079124212;Lay's vị tôm càng đút lò phô mai tan chảy bịch 30g;Lays;6000;5200;0;;;bịch;;1;;;0
