ma_hang;ma_vach;ten_hang;thuong_hieu;gia_ban;gia_von;ton_kho;ton_nho_nhat;ton_lon_nhat;dvt;ma_dvt_co_ban;quy_doi;ma_hh_lien_quan;trong_luong;gia_si
SP001224;8936013254067;Lau sàn Gift hương lily 3.8kg;;65000;58154;6;;;can;;1;;;0
SP001225;8936013254050;Lau sàn Gift hương Ylang 3.8kg;;65000;58154;5;;;can;;1;;;0
SP001226;8936013253923;Gift lau sàn bột trà xanh chiếc xuất lô hội 3.8kg;;62000;58154;0;;;can;;1;;;0
SP001227;8936013253909;Gift lau sàn bột than và chiếc xuất tre 3.8kg;;65000;58154;0;;;can;;1;;;0
SP001228;8936013254951;Gift lau kính 580ml;;23000;18000;0;;;chai;;1;;;0
SP001229;8936013254005;Gift lau sàn sakura 1l;;28000;22500;8;;;chai;;1;;;0
SP001230;8936013254272;Lau sàn Gift yuzu 1l;;28000;23500;0;;;chai;;1;;;0
SP001231;8936013254289;Lau sàn gift Trà xanh 1l;;28000;22500;1;;;chai;;1;;;0
SP001232;8936013254265;LS Gift bột than & tre chai 1L;;28000;22500;0;;;chai;;1;;;0
SP001233;8936013254074;Nước lao sàn Gift hương hoa Sakura can 3.8kg;Gift;65000;58154;0;;;can;;1;;;0
SP001234;8936036026153;Bánh C'est bon sợi gà bịch 85g;Chocopie;20000;16000;23;;;bịch;;1;;;0
SP001235;PVN6344;Bánh C'est bon sợi gà bịch 85g;Chocopie;336000;320000;1;;;thùng;SP001234;20;SP001234;;0
SP001236;8936036027464;Bánh C'est bon sốt kem phô mai bịch 85g;Chocopie;20000;16000;0;;;bịch;;1;;;0
SP001237;PVN6345;Bánh C'est bon sốt kem phô mai bịch 85g;Chocopie;336000;320000;0;;;thùng;SP001236;20;SP001236;;0
SP001238;8936036029376;C'est bon Sandwich sốt bơ phô mai chà bông bịch 147g;Chocopie;29000;25576;3;;;bịch;;1;;;0
SP001239;PVN7939;C'est bon Sandwich sốt bơ phô mai chà bông bịch 147g;Chocopie;320000;306912;0;;;thùng;SP001238;12;SP001238;;0
SP001240;8936036029901;Bánh C'est bon Baguette vị bơ tỏi đút lò bịch 108g;Chocopie;20000;15980;5;;;bịch;;1;;;0
SP001241;PVN8241;Bánh C'est bon Baguette vị bơ tỏi đút lò bịch 108g;Chocopie;349000;319600;0;;;thùng;SP001240;20;SP001240;;0
SP001242;8936029422030;C'est bon sandwich bịch 98g;Chocopie;20000;17700;0;;;bịch;;1;;;0
SP001243;PVN8608;C'est bon sandwich bịch 98g;Chocopie;370000;354000;0;;;thùng;SP001242;20;SP001242;;0
SP001244;8936036026191;Bánh gạo An vị tảo biển gói 111.3g;Chocopie;18000;13682;0;;;bịch;;1;;;0
SP001245;PVN5906;Bánh gạo An vị tảo biển gói 111.3g;Chocopie;283000;273640;0;;;thùng;SP001244;20;SP001244;;0
SP001246;8936036026177;Bánh gạo An vị tự nhiên bịch 151,2g;Chocopie;18000;15832;8;;;bịch;;1;;;0
SP001247;PVN5522;Bánh gạo An vị tự nhiên bịch 151,2g;Chocopie;275000;316640;0;;;thùng;SP001246;20;SP001246;;0
SP001248;8936036028300;Bánh gạo An vị khoai tây phô mai nướng bịch 100.8g;Chocopie;18000;13106;6;;;bịch;;1;;;0
SP001249;PVN6199;Bánh gạo An vị khoai tây phô mai nướng bịch 100.8g;Chocopie;279000;262120;0;;;thùng;SP001248;20;SP001248;;0
SP001250;8936036026542;Bánh gạo An vị tảo biển gói gói 174.9g;Chocopie;23000;18888;25;;;bịch;;1;;;0
SP001251;PVN5907;Bánh gạo An vị tảo biển gói gói 174.9g;Chocopie;395000;377760;1;;;thùng;SP001250;20;SP001250;;0
SP001252;8936036026535;Bánh gạo An vị tự nhiên gói 226,8g;Chocopie;23000;18888;5;;;bịch;;1;;;0
SP001253;PVN5901;Bánh gạo An vị tự nhiên gói 226,8g;Chocopie;395000;377760;0;;;thùng;SP001252;20;SP001252;;0
SP001254;8936036029932;Bánh gạo An chà bông ruốc thịt đậm đà bịch 145.6g;Chocopie;28000;23769;20;;;bịch;;1;;;0
SP001255;PVN6572;Bánh gạo An chà bông ruốc thịt đậm đà bịch 145.6g;Chocopie;258000;237690;2;;;thùng;SP001254;10;SP001254;;0
SP001256;8936029421033;Bánh gạo an cốm sen bịch 168g;Chocopie;23000;20223;7;;;bịch;;1;;;0
SP001257;PVN8000;Bánh gạo an cốm sen bịch 168g;Chocopie;220000;202230;1;;;thùng;SP001256;10;SP001256;;0
SP001258;8936029422542;Bánh gạo An vị ngô nướng bơ bịch 120g;Chocopie;23000;19150;5;;;bịch;;1;;;0
SP001259;PVN9027;Bánh gạo An vị ngô nướng bơ bịch 120g;Chocopie;395000;383000;0;;;thùng;SP001258;20;SP001258;;0
SP001260;8936029424966;Bánh gạo An vị sườn nướng tảng bịch 105.8g;Chocopie;18000;13000;15;;;bịch;;1;;;0
SP001261;PVN9262;Bánh gạo An vị sườn nướng tảng bịch 105.8g;Chocopie;278000;260000;1;;;thùng;SP001260;20;SP001260;;0
SP001262;8936029425840;Bánh gạo An vị nấm hương om nước tương bịch 140g (14 gói x 10g);Chocopie;28000;23620;0;;;bịch;;1;;;0
SP001263;PVN9432;Bánh gạo An vị nấm hương om nước tương bịch 140g (14 gói x 10g);Chocopie;246000;236200;0;;;thùng;SP001262;10;SP001262;;0
SP001264;8936036020120;Bánh Custas nhân kem 6 bánh hộp 141g;Chocopie;30000;24844;0;;;hộp;;1;;;0
SP001265;PVN3555;Bánh Custas nhân kem 6 bánh hộp 141g;Chocopie;422000;198752;0;;;thùng;SP001264;8;SP001264;;0
SP001266;8936036020137;Bánh Custas kem trứng 12 bánh hộp 329g;Chocopie;52000;47500;0;;;hộp;;1;;;0
SP001267;PVN5523;Bánh Custas kem trứng 12 bánh hộp 329g;Chocopie;396000;380000;0;;;thùng;SP001266;8;SP001266;;0
SP001268;8936036020274;Bánh Custas kem trứng hộp 47g (2 cái);Chocopie;10000;7913;6;;;hộp;;1;;;0
SP001269;PVN7388;Bánh Custas kem trứng hộp 47g (2 cái);Chocopie;110000;94956;1;;;lóc;SP001268;12;SP001268;;0
SP001270;PVN7389;Bánh Custas kem trứng hộp 47g (2 cái);Chocopie;388000;379824;0;;;thùng;SP001268;48;SP001268;;0
SP001271;8935049501688;Fanta hương nho chai 300ml;Coca;5000;3667;12;;;chai;;1;;;0
SP001272;PVN6054;Fanta hương nho chai 300ml;Coca;26000;22002;2;;;lóc;SP001271;6;SP001271;;0
SP001273;PVN6117;Fanta hương nho chai 300ml;Coca;90000;88008;1;;;thùng;SP001271;24;SP001271;;0
SP001274;8935049501671;Fanta hương nho chai 1.5L;Coca;16000;15167;16;;;chai;;1;;;0
SP001275;PVN6212;Fanta hương nho chai 1.5L;Coca;158000;182004;1;;;thùng;SP001274;12;SP001274;;0
SP001276;8936036020380;Bánh ChocoPie 12 bánh hộp 396g;Chocopie;49000;46175;0;;;hộp;;1;;;0
SP001277;PVN4790;Bánh ChocoPie 12 bánh hộp 396g;Chocopie;380000;369400;0;;;thùng;SP001276;8;SP001276;;0
SP001278;8936036020373;Bánh ChocoPie 6 bánh hộp 198g;Chocopie;30000;25050;65;;;Hộp;;1;;;0
SP001279;PVN3554;Bánh ChocoPie 6 bánh hộp 198g;Chocopie;210000;200400;8;;;thùng;SP001278;8;SP001278;;0
SP001280;8936036020403;Bánh ChocoPie hộp 66g (2 cái);Chocopie;10000;8144;7;;;hộp;;1;;;0
SP001281;PVN7361;Bánh ChocoPie hộp 66g (2 cái);Chocopie;110000;97728;1;;;lóc;SP001280;12;SP001280;;0
SP001282;PVN7362;Bánh ChocoPie hộp 66g (2 cái);Chocopie;402000;390912;0;;;thùng;SP001280;48;SP001280;;0
RD330;8934564660016;Nước tăng lục Rồng đỏ vị dâu chai 330ml;C2;6500;4917;69;;;chai;;1;;;0
RD330L;RD330L;Nước tăng lục Rồng đỏ vị dâu chai 330ml;C2;33000;29502;12;;;lóc;RD330;6;RD330;;0
RD330T;RD330T;Nước tăng lục Rồng đỏ vị dâu chai 330ml;C2;124000;118008;3;;;thùng;RD330;24;RD330;;0
SP001286;8934564660047;Nước tăng lực Rồng Đỏ vị Nho chai 330ml;C2;6500;4917;72;;;chai;;1;;;0
SP001287;PVN3162;Nước tăng lực Rồng Đỏ vị Nho chai 330ml;C2;33000;29502;12;;;lóc;SP001286;6;SP001286;;0
SP001288;PVN3163;Nước tăng lực Rồng Đỏ vị Nho chai 330ml;C2;124000;118008;3;;;thùng;SP001286;24;SP001286;;0
SP001289;8934564660139;Rồng đỏ hương vải anh đào chai 330ml;C2;6500;4917;113;;;chai;;1;;;0
SP001290;PVN9214;Rồng đỏ hương vải anh đào chai 330ml;C2;33000;29502;19;;;lóc;SP001289;6;SP001289;;0
SP001291;PVN9215;Rồng đỏ hương vải anh đào chai 330ml;C2;124000;118008;5;;;thùng;SP001289;24;SP001289;;0
SP001292;8934564600173;Trà C2 vị táo chai 360ml;C2;7000;5625;0;;;Chai;;1;;;0
SP001293;PVN383;Trà C2 vị táo chai 360ml;C2;37000;33750;0;;;lóc;SP001292;6;SP001292;;0
SP001294;PVN1941;Trà C2 vị táo chai 360ml;C2;142000;135000;0;;;thùng;SP001292;24;SP001292;;0
SP001295;8934564600128;Trà C2 vị chanh chai 360ml;C2;7000;5417;3;;;chai;;1;;;0
SP001296;PVN592;Trà C2 vị chanh chai 360ml;C2;39000;32502;1;;;lóc;SP001295;6;SP001295;;0
SP001297;PVN3158;Trà C2 vị chanh chai 360ml;C2;144000;130008;0;;;thùng;SP001295;24;SP001295;;0
SP001298;8934564600692;Trà C2 vị đào chai 455ml;C2;9000;7375;48;;;Chai;;1;;;0
SP001299;PVN589;Trà C2 vị đào chai 455ml;C2;47000;44250;8;;;lóc;SP001298;6;SP001298;;0
SP001300;PVN1536;Trà C2 vị đào chai 455ml;C2;180000;177000;2;;;thùng;SP001298;24;SP001298;;0
SP001301;8934564600807;Trà C2 vị vải chai 455ml;C2;9000;7209;21;;;Chai;;1;;;0
SP001302;PVN588;Trà C2 vị vải chai 455ml;C2;47000;43254;4;;;lóc;SP001301;6;SP001301;;0
SP001303;PVN1538;Trà C2 vị vải chai 455ml;C2;178000;173016;1;;;thùng;SP001301;24;SP001301;;0
SP001304;8934564600357;Trà C2 vị chanh chai 455ml;C2;9000;7250;162;;;chai;;1;;;0
SP001305;PVN587;Trà C2 vị chanh chai 455ml;C2;47000;43500;27;;;lóc;SP001304;6;SP001304;;0
SP001306;PVN1537;Trà C2 vị chanh chai 455ml;C2;180000;174000;7;;;thùng;SP001304;24;SP001304;;0
SP001307;8934564600913;Trà C2 vị táo chai 230ml;C2;5000;3625;18;;;chai;;1;;;0
SP001308;PVN1100;Trà C2 vị táo chai 230ml;C2;25000;21750;3;;;lóc;SP001307;6;SP001307;;0
SP001309;PVN1101;Trà C2 vị táo chai 230ml;C2;92000;87000;1;;;thùng;SP001307;24;SP001307;;0
SP001310;8934564600920;Trà C2 vị chanh chai 230ml;C2;5000;3625;26;;;chai;;1;;;0
SP001311;PVN1103;Trà C2 vị chanh chai 230ml;C2;25000;21750;4;;;lóc;SP001310;6;SP001310;;0
SP001312;PVN1104;Trà C2 vị chanh chai 230ml;C2;92000;87000;1;;;thùng;SP001310;24;SP001310;;0
SP001313;8934564600838;Trà C2 vị Chanh tuyết bạc hà chai 455ml;C2;9000;7375;57;;;chai;;1;;;0
SP001314;PVN3156;Trà C2 vị Chanh tuyết bạc hà chai 455ml;C2;47000;44250;10;;;lóc;SP001313;6;SP001313;;0
SP001315;PVN3157;Trà C2 vị Chanh tuyết bạc hà chai 455ml;C2;178000;177000;2;;;thùng;SP001313;24;SP001313;;0
SP001316;8934564600937;Trà C2 vị đào chai 230ml;C2;5000;3709;0;;;chai;;1;;;0
SP001317;PVN4832;Trà C2 vị đào chai 230ml;C2;25000;22254;0;;;lóc;SP001316;6;SP001316;;0
SP001318;PVN4833;Trà C2 vị đào chai 230ml;C2;92000;89016;0;;;thùng;SP001316;24;SP001316;;0
SP001319;8934564600869;Trà C2 vị dâu anh đào chai 455ml;C2;9000;7192;73;;;chai;;1;;;0
SP001320;PVN4908;Trà C2 vị dâu anh đào chai 455ml;C2;47000;43152;12;;;lóc;SP001319;6;SP001319;;0
SP001321;PVN4909;Trà C2 vị dâu anh đào chai 455ml;C2;180000;172608;3;;;thùng;SP001319;24;SP001319;;0
SP001322;8934564600883;Trà C2 dưa lưới bạc hà chai 455ml;C2;9000;7375;44;;;chai;;1;;;0
SP001323;PVN6310;Trà C2 dưa lưới bạc hà chai 455ml;C2;47000;44250;7;;;lóc;SP001322;6;SP001322;;0
SP001324;PVN6311;Trà C2 dưa lưới bạc hà chai 455ml;C2;180000;177000;2;;;thùng;SP001322;24;SP001322;;0
SP001325;8935049501718;Sprite lon 320ml;Coca;8500;6084;0;;;lon;;1;;;0
SP001326;PVN584;Sprite lon 320ml;Coca;42000;36504;0;;;lóc;SP001325;6;SP001325;;0
SP001327;PVN1140;Sprite lon 320ml;Coca;150000;146016;0;;;thùng;SP001325;24;SP001325;;0
SP001328;8935049500469;Sprite chai 1.5L;Coca;16000;12917;2;;;chai;;1;;;0
SP001329;PVN5338;Sprite chai 1.5L;Coca;158000;155004;0;;;Thùng;SP001329;12;SP001329;;0
SP001330;8935049510604;Sprite chai 390ml;Coca;6500;5334;36;;;chai;;1;;;0
SP001331;PVN5075;Sprite chai 390ml;Coca;36000;32004;6;;;lóc;SP001330;6;SP001330;;0
SP001332;PVN5076;Sprite chai 390ml;Coca;129000;128016;2;;;thùng;SP001330;24;SP001330;;0
SP001333;8935049500407;Sprite lon 235ml;Coca;6000;5875;0;;;lon;;1;;;0
SP001334;PVN7587;Sprite lon 235ml;Coca;36000;35250;0;;;lóc;SP001333;6;SP001333;;0
SP001335;PVN7588;Sprite lon 235ml;Coca;120000;141000;0;;;thùng;SP001333;24;SP001333;;0
SP001336;8935049511021;Nutriboost hương cam chai 297ml;Coca;9000;7625;4;;;chai;;1;;;0
SP001337;PVN493;Nutriboost hương cam chai 297ml;Coca;48000;45750;1;;;lóc;SP001336;6;SP001336;;0
SP001338;PVN5603;Nutriboost hương cam chai 297ml;Coca;178000;183000;0;;;thùng;SP001336;24;SP001336;;0
SP001339;8935049500131;Nutriboost hương dâu chai 297ml;Coca;9000;7500;0;;;chai;;1;;;0
SP001340;PVN492;Nutriboost hương dâu chai 297ml;Coca;48000;45000;0;;;lóc;SP001339;6;SP001339;;0
SP001341;PVN2443;Nutriboost hương dâu chai 297ml;Coca;178000;180000;0;;;thùng;SP001339;24;SP001339;;0
SP001342;8935049511038;Nutriboost hương cam chai 1L;Coca;23000;20167;7;;;chai;;1;;;0
SP001343;PVN6058;Nutriboost hương cam chai 1L;Coca;248000;242004;1;;;thùng;SP001342;12;SP001342;;0
SP001344;8935049500100;Nutriboost hương dâu chai 1L;Coca;23000;20167;2;;;chai;;1;;;0
SP001345;PVN2322;Nutriboost hương dâu chai 1L;Coca;248000;242004;0;;;thùng;SP001344;12;SP001344;;0
SP001346;8935049510024;Nutriboost hương bánh quy kem chai 297ml;Coca;9000;7875;21;;;chai;;1;;;0
SP001347;PVN7099;Nutriboost hương bánh quy kem chai 297ml;Coca;48000;47250;4;;;lóc;SP001346;6;SP001346;;0
SP001348;PVN7100;Nutriboost hương bánh quy kem chai 297ml;Coca;178000;189000;1;;;thùng;SP001346;24;SP001346;;0
SP001349;8935049501398;Coca vị nguyên bản chai 2.25L;Coca;22000;19667;8;;;chai;;1;;;0
SP001350;PVN5086;Coca vị nguyên bản chai 2.25L;Coca;252000;236004;1;;;thùng;SP001349;12;SP001349;;0
SP001351;8935049501381;Coca ít đường vị nguyên bản 1.5L;Coca;16000;13667;36;;;chai;;1;;;0
SP001352;PVN5087;Coca ít đường vị nguyên bản 1.5L;Coca;174000;164004;3;;;thùng;SP001351;12;SP001351;;0
SP001353;8935049501374;Coca vị nguyên bản chai 600ml;Coca;9000;7084;18;;;chai;;1;;;0
SP001354;PVN499;Coca vị nguyên bản chai 600ml;Coca;46000;42504;3;;;lóc;SP001353;6;SP001353;;0
SP001355;PVN1149;Coca vị nguyên bản chai 600ml;Coca;168000;170016;1;;;thùng;SP001353;24;SP001353;;0
SP001356;8935049501503;Coca Cola lon 320ml;Coca;9000;7917;0;;;lon;;1;;;0
SP001357;PVN1246;Coca Cola lon 320ml;Coca;46000;47502;0;;;lóc;SP001356;6;SP001356;;0
SP001358;PVN1247;Coca Cola lon 320ml;Coca;175000;190008;0;;;thùng;SP001356;24;SP001356;;0
SP001359;8935049510673;Coca chai 390ml;Coca;6000;5000;0;;;chai;;1;;;0
SP001360;PVN5078;Coca chai 390ml;Coca;34000;30000;0;;;lóc;SP001359;6;SP001359;;0
SP001361;PVN5079;Coca chai 390ml;Coca;126000;120000;0;;;thùng;SP001359;24;SP001359;;0
SP001362;8935049501534;Coca Zero Sugar lon 330ml;Coca;9000;7063;0;;;lon;;1;;;0
SP001363;PVN5608;Coca Zero Sugar lon 330ml;Coca;46000;42378;0;;;lóc;SP001362;6;SP001362;;0
SP001364;PVN5609;Coca Zero Sugar lon 330ml;Coca;175000;169512;0;;;thùng;SP001362;24;SP001362;;0
SP001365;8935049500735;Coca chai 300ml;Coca;5000;4000;14;;;chai;;1;;;0
SP001366;PVN6219;Coca chai 300ml;Coca;27000;24000;2;;;lóc;SP001365;6;SP001365;;0
SP001367;PVN7578;Coca chai 300ml;Coca;88000;96000;1;;;thùng;SP001365;24;SP001365;;0
SP001368;8935049501404;Coca lon 235ml;Coca;7500;5917;0;;;lon;;1;;;0
SP001369;PVN7490;Coca lon 235ml;Coca;40000;35502;0;;;lóc;SP001368;6;SP001368;;0
SP001370;PVN7491;Coca lon 235ml;Coca;148000;142008;0;;;thùng;SP001368;24;SP001368;;0
YC1;;Sữa YoMost vị Cam hộp 100ml;Cô gái Hà Lan;6000;4480;92;;;hộp;;1;;;0
YC1L;8934841901139;Sữa YoMost vị Cam hộp 100ml;Cô gái Hà Lan;20000;17920;23;;;lóc;YC1;4;YC1;;0
YC1T;YC1T;Sữa YoMost vị Cam hộp 100ml;Cô gái Hà Lan;215000;215040;2;;;thùng;YC1;48;YC1;;0
YD1;;Sữa YoMost vị Dâu hộp 100ml;Cô gái Hà Lan;6000;4480;84;;;hộp;;1;;;0
YD1L;8934841903089;Sữa YoMost vị Dâu hộp 100ml;Cô gái Hà Lan;20000;17920;21;;;lóc;YD1;4;YD1;;0
YD1T;YD1T;Sữa YoMost vị Dâu hộp 100ml;Cô gái Hà Lan;215000;215040;2;;;thùng;YD1;48;YD1;;0
YL17;;Sữa YoMost vị Lựu hộp 170ml;Cô gái Hà Lan;8000;7041;132;;;hộp;;1;;;0
YL17L;8934841900446;Sữa YoMost vị Lựu hộp 170ml;Cô gái Hà Lan;30000;28164;33;;;lóc;YL17;4;YL17;;0
YL17T;YL17T;Sữa YoMost vị Lựu hộp 170ml;Cô gái Hà Lan;306000;337968;3;;;thùng;YL17;48;YL17;;0
YD17;;Sữa YoMost vị Dâu hộp 170ml;Cô gái Hà Lan;8000;0;124;;;hộp;;1;;;0
YD17L;8934841900293;Sữa YoMost vị Dâu hộp 170ml;Cô gái Hà Lan;30000;0;31;;;lóc;YD17;4;YD17;;0
YD17T;YD17T;Sữa YoMost vị Dâu hộp 170ml;Cô gái Hà Lan;310000;0;3;;;thùng;YD17;48;YD17;;0
YV17;;Sữa YoMost vị Việt Quất hộp 170ml;Cô gái Hà Lan;8000;6625;178;;;hộp;;1;;;0
YV17L;8934841901641;Sữa YoMost vị Việt Quất hộp 170ml;Cô gái Hà Lan;30000;26500;45;;;lóc;YV17;4;YV17;;0
YV17T;YV17T;Sữa YoMost vị Việt Quất hộp 170ml;Cô gái Hà Lan;310000;318000;4;;;thùng;YV17;48;YV17;;0
YC17;;Sữa YoMost vị Cam hộp 170ml;Cô gái Hà Lan;8000;7297;92;;;hộp;;1;;;0
YC17L;8934841900286;Sữa YoMost vị Cam hộp 170ml;Cô gái Hà Lan;30000;29188;23;;;lóc;YC17;4;YC17;;0
YC17T;YC17T;Sữa YoMost vị Cam hộp 170ml;Cô gái Hà Lan;310000;350256;2;;;thùng;YC17;48;YC17;;0
YN17;YN17;Sữa Yomost vị nho hộp 170ml;Cô gái Hà Lan;8000;6250;76;;;hộp;;1;;;0
YN17L;8934841903676;Sữa Yomost vị nho hộp 170ml;Cô gái Hà Lan;30000;25000;19;;;lóc;YN17;4;YN17;;0
YN17T;YN17T;Sữa Yomost vị nho hộp 170ml;Cô gái Hà Lan;310000;300000;2;;;thùng;YN17;48;YN17;;0
SP001392;8934588870552;Trà ô long Tea Plus chai 450ml;pepsi;8500;6978;134;;;chai;;1;;;0
SP001393;PVN509;Trà ô long Tea Plus chai 450ml;pepsi;48000;41868;22;;;lóc;SP001392;6;SP001392;;44000
SP001394;PVN2107;Trà ô long Tea Plus chai 450ml;pepsi;172000;167472;6;;;thùng;SP001392;24;SP001392;;173000
SP001395;8934588870118;Trà ô long Tea Plus chai 320ml;pepsi;7000;5483;49;;;chai;;1;;;0
SP001396;PVN505;Trà ô long Tea Plus chai 320ml;pepsi;40000;32898;8;;;lóc;SP001395;6;SP001395;;0
SP001397;PVN894;Trà ô long Tea Plus chai 320ml;pepsi;138000;131592;2;;;thùng;SP001395;24;SP001395;;0
SP001398;8934588870101;Trà Ô Long Tea Plus chai 1L;pepsi;15000;13125;30;;;chai;;1;;;0
SP001399;PVN4882;Trà Ô Long Tea Plus chai 1L;pepsi;170000;157500;3;;;thùng;SP001398;12;SP001398;;0
SP001400;8934588290558;Trà ô long Tea Plus hương chanh chai 450ml;pepsi;9000;6984;14;;;chai;;1;;;0
SP001401;olc455l;Trà ô long Tea Plus hương chanh chai 450ml;pepsi;48000;41904;2;;;lóc;SP001400;6;SP001400;;0
SP001402;olc455t;Trà ô long Tea Plus hương chanh chai 450ml;pepsi;172000;167616;1;;;thùng;SP001400;24;SP001400;;0
SP001403;8936010532120;Cozy trà ô long xoài chai 455ml;Cozy;8500;7250;0;;;chai;;1;;;0
SP001404;PVN7191;Cozy trà ô long xoài chai 455ml;Cozy;46000;43500;0;;;lóc;SP001403;6;SP001403;;0
SP001405;PVN7192;Cozy trà ô long xoài chai 455ml;Cozy;166000;174000;0;;;thùng;SP001403;24;SP001403;;0
SP001406;8934588290107;Trà Ô long Tea Plus hương chanh chai 1L;pepsi;15000;13667;6;;;chai;;1;;;0
SP001407;PVN7445;Trà Ô long Tea Plus hương chanh chai 1L;pepsi;170000;164004;1;;;thùng;SP001406;12;SP001406;;0
SP001408;8936048474768;Trà mật ong Boncha vị Ô long đào chai 450ml;Boncha;9000;7272;0;;;chai;;1;;;0
SP001409;PVN7876;Trà mật ong Boncha vị Ô long đào chai 450ml;Boncha;48000;43632;0;;;lóc;SP001408;6;SP001408;;0
SP001410;PVN7877;Trà mật ong Boncha vị Ô long đào chai 450ml;Boncha;180000;174528;0;;;thùng;SP001408;24;SP001408;;0
SP001411;8934588763557;Trà Ô Long xanh Tea Plus hương vị chanh chai 450ml;pepsi;8500;7160;0;;;chai;;1;;;0
SP001412;PVN8322;Trà Ô Long xanh Tea Plus hương vị chanh chai 450ml;pepsi;48000;42960;0;;;lóc;SP001411;6;SP001411;;0
SP001413;PVN8323;Trà Ô Long xanh Tea Plus hương vị chanh chai 450ml;pepsi;176000;171840;0;;;thùng;SP001411;24;SP001411;;0
SP001414;8934588763106;Trà Ô long Tea Plus trà xanh hương chanh chai 1L;pepsi;15000;12550;3;;;chai;;1;;;0
SP001415;PVN8595;Trà Ô long Tea Plus trà xanh hương chanh chai 1L;pepsi;166000;150600;0;;;thùng;SP001414;12;SP001414;;0
SP001416;8934588793554;Trà Ô Long Tea Plus vị đào nhiệt đới chai 450ml;pepsi;8500;6978;45;;;chai;;1;;;0
SP001417;PVN8829;Trà Ô Long Tea Plus vị đào nhiệt đới chai 450ml;pepsi;48000;41868;8;;;lóc;SP001416;6;SP001416;;0
SP001418;PVN8830;Trà Ô Long Tea Plus vị đào nhiệt đới chai 450ml;pepsi;172000;167472;2;;;thùng;SP001416;24;SP001416;;0
SP001419;8934588793103;Trà Ô long Tea Plus vị đào nhiệt đới chai 1L;pepsi;15000;13375;20;;;chai;;1;;;0
SP001420;PVN8836;Trà Ô long Tea Plus vị đào nhiệt đới chai 1L;pepsi;166000;160500;2;;;thùng;SP001419;12;SP001419;;0
SP001421;8934588063053;Nước Aquafina chai 500ml;pepsi;5000;370;356;;;chai;;1;;;0
SP001422;PVN506;Nước Aquafina chai 500ml;pepsi;26000;2220;59;;;lóc;SP001421;6;SP001421;;0
SP001423;PVN5388;Nước Aquafina chai 500ml;pepsi;93000;8880;15;;;Thùng;SP001421;24;SP001421;;0
SP001424;8934588063060;Nước Aquafina 1.5L;pepsi;9000;7750;58;;;chai;;1;;;0
SP001425;PVN3616;Nước Aquafina 1.5L;pepsi;98000;93000;5;;;thùng;SP001424;12;SP001424;;0
SP001426;8934588063176;Nước Aquafina 5L;pepsi;26000;23250;8;;;chai;;1;;;0
SP001427;PVN5734;Nước Aquafina 5L;pepsi;98000;93000;2;;;thùng;PVN2825;4;PVN2825;;0
SP001428;8934588063145;Nước Aquafina chai 355ml;pepsi;4000;3334;194;;;chai;;1;;;0
SP001429;PVN5725;Nước Aquafina chai 355ml;pepsi;88000;80016;8;;;thùng;SP001428;24;SP001428;;0
SP001430;PVN5726;Nước Aquafina chai 355ml;pepsi;22000;20004;32;;;lóc;SP001428;6;SP001428;;0
SP001431;8935049510871;Aquarius chai 390ml;Coca;7500;5750;16;;;chai;;1;;;0
SP001432;PVN6056;Aquarius chai 390ml;Coca;40000;34500;3;;;lóc;SP001431;6;SP001431;;0
SP001433;PVN6057;Aquarius chai 390ml;Coca;148000;138000;1;;;thùng;SP001431;24;SP001431;;0
SP001434;8934588183133;Revive chanh muối chai 390ml;pepsi;8000;6484;76;;;chai;;1;;;0
SP001435;PVN508;Revive chanh muối chai 390ml;pepsi;44000;38904;13;;;Lóc;SP001434;6;SP001434;;0
SP001436;PVN2490;Revive chanh muối chai 390ml;pepsi;160000;155616;3;;;thùng;SP001434;24;SP001434;;0
SP001437;8934588843051;Revive trắng bù muối khoáng 500ml;pepsi;8000;6768;105;;;chai;;1;;;0
SP001438;PVN507;Revive trắng bù muối khoáng 500ml;pepsi;46000;40608;18;;;lóc;SP001437;6;SP001437;;0
SP001439;PVN2491;Revive trắng bù muối khoáng 500ml;pepsi;168000;162432;4;;;thùng;SP001437;24;SP001437;;0
SP001440;8934588503559;Good Mood vị sữa chua chai 455ml;pepsi;7500;6580;0;;;chai;;1;;;0
SP001441;PVN637;Good Mood vị sữa chua chai 455ml;pepsi;42000;39480;0;;;lóc;SP001440;6;SP001440;;0
SP001442;PVN1116;Good Mood vị sữa chua chai 455ml;pepsi;152000;157920;0;;;thùng;SP001440;24;SP001440;;0
SP001443;8934588273551;Good Mood vị dâu chai 455ml;pepsi;7500;6167;71;;;chai;;1;;;0
SP001444;PVN5808;Good Mood vị dâu chai 455ml;pepsi;42000;37002;12;;;lóc;SP001443;6;SP001443;;0
SP001445;PVN5809;Good Mood vị dâu chai 455ml;pepsi;154000;148008;3;;;thùng;SP001443;24;SP001443;;0
SP001446;8934588233074;Sting dâu chai 330ml;pepsi;9000;7443;484;;;chai;;1;;;0
SP001447;PVN502;Sting dâu chai 330ml;pepsi;48000;44658;81;;;lóc;SP001446;6;SP001446;;0
SP001448;PVN1119;Sting dâu chai 330ml;pepsi;182000;178632;20;;;thùng;SP001446;24;SP001446;;0
SP001449;8934588232114;Sting vị dâu lon 330ml;pepsi;9000;7769;56;;;lon;;1;;;0
